DT_CTBIL;SG_EMPRE;CD_CANAL_VENDA;CD_PRODUTO;CD_LOCAL_DEBITO;CD_LOCAL_CREDITO;VL_PREMT;QT_PREMT;CD_CNAPE
30/11/2024;RPS;2;315;9329;9623;9197,65;0;107113
30/11/2024;RPS;2;327;9329;9623;795,89;0;107113
30/11/2024;RPS;2;517;9329;9623;132,55;0;107113
30/11/2024;RPS;2;530;9329;9623;11198,2;0;107113
30/11/2024;RPS;2;535;9329;9623;2816,05;0;107113
30/11/2024;RPS;2;539;9329;9623;180,73;0;107113
30/11/2024;RPS;2;812;9329;9623;446,36;0;107113
30/11/2024;RPS;2;815;9329;9623;45,51;0;107113
30/11/2024;RPS;2;310;9331;9623;7331,44;0;107113
30/11/2024;RPS;2;315;9331;9623;267,66;0;107113
30/11/2024;RPS;2;316;9331;9623;1026,82;0;107113
30/11/2024;RPS;2;327;9331;9623;333,92;0;107113
30/11/2024;RPS;2;335;9331;9623;562,78;0;107113
30/11/2024;RPS;2;530;9331;9623;2239,25;0;107113
30/11/2024;RPS;2;535;9331;9623;67,76;0;107113
30/11/2024;RPS;2;536;9331;9623;208,71;0;107113
30/11/2024;RPS;2;539;9331;9623;63,84;0;107113
30/11/2024;RPS;2;812;9331;9623;95,86;0;107113
30/11/2024;RPS;2;817;9331;9623;3,97;0;107113
30/11/2024;RPS;2;116;9332;9623;511,07;0;107113
30/11/2024;RPS;2;310;9332;9623;10007,63;0;107113
30/11/2024;RPS;2;315;9332;9623;2179,19;0;107113
30/11/2024;RPS;2;327;9332;9623;247,14;0;107113
30/11/2024;RPS;2;530;9332;9623;2926,71;0;107113
30/11/2024;RPS;2;535;9332;9623;221,34;0;107113
30/11/2024;RPS;2;539;9332;9623;22,45;0;107113
30/11/2024;RPS;2;812;9332;9623;111,85;0;107113
30/11/2024;RPS;2;815;9332;9623;9,09;0;107113
30/11/2024;RPS;2;117;9334;9623;571,71;0;107113
30/11/2024;RPS;2;310;9334;9623;3278,71;0;107113
30/11/2024;RPS;2;315;9334;9623;758,63;0;107113
30/11/2024;RPS;2;327;9334;9623;914,3;0;107113
30/11/2024;RPS;2;530;9334;9623;884,57;0;107113
30/11/2024;RPS;2;535;9334;9623;311,59;0;107113
30/11/2024;RPS;2;539;9334;9623;72,31;0;107113
30/11/2024;RPS;2;750;9334;9623;247,78;0;107113
30/11/2024;RPS;2;812;9334;9623;52,58;0;107113
30/11/2024;RPS;2;815;9334;9623;12,07;0;107113
30/11/2024;RPS;2;827;9334;9623;248,01;0;107113
30/11/2024;RPS;2;310;9336;9623;910,49;0;107113
30/11/2024;RPS;2;530;9336;9623;197,03;0;107113
30/11/2024;RPS;2;789;9336;9623;0,9;0;107113
30/11/2024;RPS;2;812;9336;9623;15,59;0;107113
30/11/2024;RPS;2;116;9338;9623;99;0;107113
30/11/2024;RPS;2;310;9338;9623;1734,28;0;107113
30/11/2024;RPS;2;530;9338;9623;369,92;0;107113
30/11/2024;RPS;2;789;9338;9623;1,5;0;107113
30/11/2024;RPS;2;812;9338;9623;23,11;0;107113
30/11/2024;RPS;2;210;9339;9691;225;0;107113
30/11/2024;RPS;2;310;9341;9623;6697,4;0;107113
30/11/2024;RPS;2;311;9341;9623;838,71;0;107113
30/11/2024;RPS;2;315;9341;9623;703,63;0;107113
30/11/2024;RPS;2;316;9341;9623;1200,56;0;107113
30/11/2024;RPS;2;327;9341;9623;75,56;0;107113
30/11/2024;RPS;2;530;9341;9623;1248,7;0;107113
30/11/2024;RPS;2;531;9341;9623;28,81;0;107113
30/11/2024;RPS;2;535;9341;9623;137,39;0;107113
30/11/2024;RPS;2;536;9341;9623;694,19;0;107113
30/11/2024;RPS;2;539;9341;9623;32,24;0;107113
30/11/2024;RPS;2;812;9341;9623;78,32;0;107113
30/11/2024;RPS;2;816;9341;9623;5,24;0;107113
30/11/2024;RPS;2;817;9341;9623;7,74;0;107113
30/11/2024;RPS;2;116;9342;9623;601,89;0;107113
30/11/2024;RPS;2;208;9342;9623;83,33;0;107113
30/11/2024;RPS;2;310;9342;9623;6403,87;0;107113
30/11/2024;RPS;2;315;9342;9623;555,82;0;107113
30/11/2024;RPS;2;530;9342;9623;1680,06;0;107113
30/11/2024;RPS;2;535;9342;9623;88,95;0;107113
30/11/2024;RPS;2;812;9342;9623;92,07;0;107113
30/11/2024;RPS;2;310;9386;9623;3343,6;0;107113
30/11/2024;RPS;2;315;9386;9623;290,02;0;107113
30/11/2024;RPS;2;530;9386;9623;1129,99;0;107113
30/11/2024;RPS;2;535;9386;9623;95,64;0;107113
30/11/2024;RPS;2;789;9386;9623;0,5;0;107113
30/11/2024;RPS;2;812;9386;9623;88,43;0;107113
30/11/2024;RPS;2;815;9386;9623;4,49;0;107113
30/11/2024;RPS;2;310;9424;9623;176,1;0;107113
30/11/2024;RPS;2;315;9424;9623;1522,11;0;107113
30/11/2024;RPS;2;327;9424;9623;59,62;0;107113
30/11/2024;RPS;2;530;9424;9623;66,11;0;107113
30/11/2024;RPS;2;535;9424;9623;544,4;0;107113
30/11/2024;RPS;2;539;9424;9623;19,17;0;107113
